,Unnamed: 0,p0,m0,p1,m1,p2,m2,p3,m3
9309,9309,7975.89200551,7.63555374906,46182.6490364,52.2317252844,6920.11188064,6.89478316603,1683.24674256,1.17970213387
9310,9310,8829.88723565,8.10880670212,48926.9594288,54.0880412953,7114.42685843,7.00945001892,1683.24674256,1.17970213387
9311,9311,9598.02000014,8.51674772324,55534.004189,58.368696081,7332.10371243,7.13619701734,1683.24674256,1.17970213387
9312,9312,8069.21311608,7.68837062062,46515.0985343,52.4592741452,6958.71975672,6.91768333475,1683.24674256,1.17970213387
9313,9313,9944.79435466,8.69597638743,57767.9630514,59.7620560284,7416.07525145,7.1846255508,1699.40299614,1.19102523127
9314,9314,8130.47503178,7.72288979894,46702.4436308,52.5871725658,6993.02650107,6.93798305097,1683.24674256,1.17970213387
9315,9315,8997.62638232,8.19924161821,50132.792881,54.8883949274,7189.12965455,7.0531467201,1683.24674256,1.17970213387
9316,9316,9774.17092287,8.60815564901,56648.6009121,59.0670687129,7408.69149722,7.18037734283,1683.24674256,1.17970213387
9317,9317,8225.22534237,7.77604314883,47046.5824586,52.8214942471,7032.35670732,6.96119864357,1683.24674256,1.17970213387
9318,9318,10126.7563649,8.78887411566,58923.0731093,60.4727367795,7493.90373289,7.22928555353,1735.683489,1.21645238568
9319,9319,8287.31236732,7.81071983974,47238.2040374,52.9516237004,7067.48343538,6.98188233789,1683.24674256,1.17970213387
9320,9320,10219.3718002,8.83586312027,59601.8911627,60.887374432,7532.15873163,7.25115873083,1754.92659001,1.22993889764
9321,9321,8367.08640138,7.85509960961,47500.4667286,53.129329316,7104.0181155,7.00334472243,1683.24674256,1.17970213387
9322,9322,9253.97315844,8.33596227231,51827.2397612,55.9981368192,7303.1001706,7.11941045967,1683.24674256,1.17970213387
9323,9323,10043.8305097,8.7466335405,58471.206724,60.1955005351,7525.69667876,7.24746751027,1714.96228025,1.2019299431
9324,9324,8464.5380919,7.90904983364,47858.8180665,53.3714097274,7145.13593781,7.02743855438,1683.24674256,1.17970213387
9325,9325,10405.5344487,8.92972662793,60965.409721,61.7136974658,7612.91895267,7.29716745149,1791.06396585,1.25526574861
9326,9326,8527.39788341,7.94369778688,48047.9646414,53.4988469275,7181.37483271,7.0486204025,1683.24674256,1.17970213387
9327,9327,10500.043644,8.97708351037,61589.1872238,62.0888698515,7652.39750944,7.31957618368,1805.65590522,1.26549249765
9328,9328,8607.50826285,7.98768397326,48321.445542,53.6826938439,7218.98956047,7.07055425112,1683.24674256,1.17970213387
9329,9329,9516.15002622,8.47400157452,53670.9431884,57.1867044854,7421.14260393,7.18753989763,1683.24674256,1.17970213387
9330,9330,10317.5259104,8.88544942812,60292.3565434,61.3068920851,7646.04447661,7.31597369842,1766.24064078,1.23786834109
9331,9331,8704.89541332,8.04090298516,48686.7951402,53.9275485377,7260.13967537,7.09448924449,1683.24674256,1.17970213387
9332,9332,10685.859851,9.06962649874,62991.8536109,62.9261455458,7733.22431787,7.36528907906,1844.03128712,1.29238785338
9333,9333,8766.29435288,8.07431463463,48858.246932,54.0421606762,7295.77120858,7.11516375909,1683.24674256,1.17970213387
9334,9334,10779.865182,9.11616348817,63561.5697228,63.2637552822,7772.10988998,7.38720285137,1863.96215165,1.30635638385
9335,9335,8847.03206245,8.11808626171,49128.5022814,54.2224432712,7332.85783754,7.13663307736,1683.24674256,1.17970213387
9336,9336,9774.70706861,8.60843270394,55471.0333749,58.3290477262,7536.6947598,7.25374890404,1683.24674256,1.17970213387
9337,9337,10588.6280823,9.02129448951,62149.4950392,62.4243735501,7764.288256,7.38279908063,1826.31695647,1.27997277891
9338,9338,8944.73254304,8.17080888454,49494.1195403,54.4656102992,7373.61453358,7.16016920996,1683.24674256,1.17970213387
9339,9339,10965.1706891,9.2073572386,64934.0668745,64.0713935123,7852.68929785,7.43245252939,1898.10892995,1.33028812613
9340,9340,9006.08470976,8.20378119105,49664.1902929,54.5784383119,7409.7537584,7.18098863016,1683.24674256,1.17970213387
9341,9341,11060.4024437,9.25394877249,65646.839147,64.4877095899,7892.24253657,7.45458539707,1922.13400135,1.34712607821
9342,9342,9087.83149577,8.24755384338,49952.3220991,54.7691823604,7447.52903148,7.20270048657,1683.24674256,1.17970213387
9343,9343,11155.449754,9.3002673541,66333.3322504,64.8867079361,7932.00864131,7.47678585149,1937.21425478,1.35769506177
9344,9344,9169.31007795,8.29100289148,50495.0003164,55.1270577858,7485.3660253,7.2243968896,1683.24674256,1.17970213387
9345,9345,10124.2042088,8.78757647768,57900.5866871,59.8439846475,7692.80255851,7.34245561797,1683.24674256,1.17970213387
9346,9346,10955.233933,9.20248509015,64693.1294006,63.9301899646,7924.37802778,7.47252985238,1898.81644894,1.33078399024
9347,9347,9269.81199832,8.34435226258,51182.4867853,55.5778798339,7527.81412746,7.24867718957,1683.24674256,1.17970213387
9348,9348,11346.8035244,9.39297380426,67648.2339371,65.6456600228,8015.5738375,7.52327161827,1973.5054721,1.38312973242
9349,9349,9329.60011526,8.37596334323,51603.1367813,55.8523401379,7565.60569126,7.27024080456,1683.24674256,1.17970213387
9350,9350,11446.830401,9.44114991855,68332.822906,66.0381048522,8056.93516853,7.54619744966,1995.59009904,1.39860772555
9351,9351,9413.66466624,8.42025262719,52175.0828834,56.2238590653,7605.15850512,7.29275617909,1683.24674256,1.17970213387
9352,9352,10395.3148815,8.92459398908,59737.2622275,60.9698005058,7815.99973107,7.41187606063,1683.24674256,1.17970213387
9353,9353,11237.894631,9.34029845842,66686.5190646,65.091241803,8051.05173706,7.54293968756,1956.765516,1.37139754756
9354,9354,9521.50654185,8.47680348766,52892.7003093,56.6873437055,7650.19616258,7.31832806701,1683.24674256,1.17970213387
9355,9355,11638.3287335,9.53284786493,69709.9025799,66.8220696475,8144.93018653,7.59479165252,2034.98095928,1.42621477846
9356,9356,9584.93420362,8.50992662239,53327.5077786,56.9667548394,7690.50343105,7.34115522337,1683.24674256,1.17970213387
9357,9357,11739.3727985,9.58095441455,70433.6333099,67.2312226025,8187.11901165,7.61800406265,2053.55086631,1.43922948296
9358,9358,9671.51626721,8.55497922188,53916.6891341,57.3436901298,7732.6013784,7.36493761124,1683.24674256,1.17970213387
9359,9359,10671.2420776,9.06237319992,61669.423211,62.1370002176,7944.47090213,7.48373265834,1717.23091205,1.20351991189
