,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
20,662.356599315,426.838470081,662.342035939,426.83885732,5475.25090774,662.356395379,426.83833403,662.341850282,426.838674771,5475.24913801,662.356577583,426.838327944,662.342054208,426.839173802,5474.29442484,5852.72532739
21,660.649691174,425.738500737,660.635143742,425.73896177,5356.51857736,660.649548599,425.738406088,660.635013812,425.738859542,5356.51737947,660.649749895,425.738343358,660.635242057,425.739631792,5356.5179244,5855.24479467
22,582.18444792,375.174448664,582.171667691,375.173838253,4695.29385331,582.184402385,375.184523036,582.171626226,375.173811283,4695.29358069,582.18462667,375.173594901,582.171859055,375.17441856,4695.29527973,5162.84887828
23,566.967677664,365.797082166,566.918645381,365.343701502,4572.22905293,566.984577765,365.906239478,566.91786001,365.343678902,4572.0127944,566.930517087,365.473917052,566.918087809,365.344285296,4572.01461081,5027.57463578
24,521.045354959,335.774098251,521.033961507,335.774098251,4150.63841636,521.045354959,335.774098251,521.033961507,335.774098251,4150.63621179,521.045354959,335.774098251,521.033961507,335.774098251,4150.6362138,4620.66481822
25,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
26,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
27,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
28,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
29,534.326627559,341.886729042,532.414881148,344.810734523,4270.58785257,534.326627559,341.886729042,532.414881148,344.810734523,4270.58785257,534.61163115,341.948941925,532.604883395,344.872947405,4270.58785257,4755.29356434
30,611.065855842,390.389152086,607.869214003,393.880671129,5080.51547945,610.538244693,390.176400737,606.394446065,393.532652966,5041.84850578,606.063738433,389.32555693,602.518569925,388.139326749,5026.87152927,5522.44338878
31,722.978991849,458.480886807,718.691773409,464.901017636,6400.33410054,721.708623511,458.03331985,715.35667756,464.104718421,6316.2498764,712.542333406,457.394750552,708.927385871,456.064046604,6288.9711373,6794.17591217
32,2057.39899438,1319.29459087,2052.39383305,1326.11178726,18144.9537402,2055.1131258,1319.29461491,2050.26290228,1323.94218624,17864.1891429,2049.59377409,1319.29520906,2049.50802794,1319.29209879,17846.5819352,19469.196256
33,2068.20292337,1331.30715951,2068.15707429,1331.31432453,18048.6595722,2068.20266693,1331.30696397,2068.15673303,1331.31418866,18018.4798601,2068.19902572,1331.30811892,2068.15309783,1331.30494584,18018.4613082,19601.8385004
34,2090.70683091,1345.81285278,2090.66257462,1345.81713475,18215.0336632,2090.70653297,1345.81269649,2090.66215564,1345.81696745,18215.0308629,2090.70273122,1345.81325093,2090.65805939,1345.8059181,18215.0042871,19801.4631517
35,2115.32414542,1361.68062803,2115.28150041,1361.68213964,18504.9933255,2115.32605119,1361.68186921,2115.28305217,1361.68332945,18504.9991048,2115.32390579,1361.68290048,2115.28013952,1361.67290922,18504.9783185,20019.8191733
36,1591.36049547,1024.02783276,1591.32691222,1024.02735987,14453.3955327,1591.36176861,1024.02856159,1591.3277402,1024.02811098,14453.4001242,1591.36074576,1024.02881857,1591.32620666,1024.02297643,14453.3877708,15372.8483127
