,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
41,20.0248947189,20.0248941993,20.0249643547,20.02491542,20.0249044436,20.0248470329,20.0248464965,20.0248471345,20.024862871,20.0883318276,20.0248630364,20.0248518141,20.049823661,20.024918712,20.4232556521,21.0967363847
42,20.0207506017,20.0207503723,20.0207499477,20.020733911,20.0207790928,20.0207680063,20.0207677592,20.0207673899,20.020755541,20.0207914828,20.0207343653,20.020742423,20.0207337299,20.0206911988,20.117588531,20.776355446
43,20.1513642381,20.1513648044,20.1513626596,20.1513113387,20.1513961326,20.1513961801,20.1513967056,20.1513944064,20.1513517509,20.1514261195,20.1513808251,20.1514079677,20.1513791403,20.1512390856,20.1514065546,20.6533408825
44,20.4078825193,20.4078837191,20.4078820705,20.407810774,20.4079169899,20.4078964735,20.4078978693,20.4078953253,20.4078252017,20.4079283759,20.4078664609,20.4079175757,20.4078648517,20.4076094581,20.4079165754,20.5474087005
45,20.772821856,20.7602960164,20.772821282,20.7727389768,20.7728555582,20.7728272848,20.758380018,20.772825974,20.7727453642,20.772854673,20.7727413525,20.7728168249,20.7727392346,20.7723685436,20.772786927,20.7728560469
46,21.1901149068,20.8464707446,21.2213147371,21.1882896828,21.2006341503,21.1993538221,20.8388052225,21.2213218855,21.2010387244,21.2213566149,21.2212255092,21.1592669209,21.2212234744,21.2208273682,21.2212643046,21.2213498144
47,21.2758650079,20.7841295411,21.5374350312,21.2706174738,21.3192199738,21.3134588965,20.7824447622,21.6431932463,21.3178442921,21.7219246439,21.7227486989,21.1993064755,21.7227469238,21.722365468,21.7227811518,21.7228536568
48,21.2193859253,20.7093325951,21.515267054,21.2223111154,21.2724580384,21.2754553873,20.7228784177,21.6941345669,21.2804771526,21.9868076957,22.1293156416,21.1598162927,22.2407443676,22.242794695,22.2323509025,22.2086520894
49,21.1704246428,20.6480420315,21.4788056704,21.1797831751,21.2385221625,21.2443301245,20.6767871384,21.6833866195,21.2489606397,22.0062827011,22.1898696553,21.1378830043,22.5008500547,22.7466613674,22.4393097089,22.3440995335
50,21.1236773808,20.5909949903,21.4411134824,21.1384731505,21.2077569765,21.2124782038,20.6324647568,21.6657847216,21.2181292963,22.011771071,22.2043183427,21.1160977056,22.5355432282,23.1996701895,22.4701059057,22.3569200949
51,21.0786807713,20.535473803,21.4020050651,21.0971795025,21.1770241872,21.1812351997,20.5885728241,21.6444847099,21.1866668864,22.0133817414,22.211036511,21.0926772562,22.5532367278,23.5709769626,22.4919846061,22.3643128254
52,21.0351274157,20.4827642117,21.3665197462,21.0594989804,21.146440484,21.1510232458,20.5475230633,21.6263079052,21.1585659943,22.0134992763,22.2190216025,21.0728668306,22.5705054562,23.8353109935,22.5115043443,22.3705718041
