,fan4,fan3,fan2,fan1,chiller
80,2262.51097409,6536.88351816,32532.0439467,4886.60630723,123606.390839
81,3240.01122146,10876.902226,60618.1493494,6257.27699105,145767.03732
82,4402.56011056,15610.1877962,90872.0543351,8108.07950064,169337.831051
83,5954.5520448,24546.943428,154752.752531,14351.1042254,210025.21283
84,6951.64880463,27567.1546573,193848.150565,19372.5350466,231469.846619
85,8416.23371281,29104.8186325,225898.309736,24616.6028569,292146.092759
86,8416.23371281,31586.4487311,240610.27931,26128.8581073,306064.208557
87,8416.23371281,32737.8766243,270852.922775,29068.1326507,315190.726262
88,8416.23371281,32737.8766243,271929.271188,31326.7606833,310739.076255
89,8416.23371281,32546.0552388,241102.680376,25446.9569138,276410.842344
90,8416.23371281,30012.1577215,204107.402262,23110.811785,225324.988336
91,8416.23371281,28437.0376042,226590.14428,25445.6854906,194199.098966
92,8241.91555457,27883.1524552,172200.206261,18860.3470123,169063.944086
93,6582.85544394,23981.7066064,100503.931588,11221.7843317,137972.649154
94,4547.66645156,14274.957918,49809.5244427,5768.33944266,117100.383626
95,2896.23584957,8263.41098449,25303.5819599,4083.4147241,110276.649511
96,1773.63118376,4867.31352277,21760.0834607,3946.61007244,98125.674697
97,1683.24674256,4155.53769798,21760.0834607,3946.61007244,93706.7588738
98,1683.24674256,3948.34954239,21760.0834607,3946.61007244,90000.5906159
99,1683.24674256,3809.17676708,21760.0834607,3946.61007244,87773.9903975
100,1683.24674256,3728.59861069,21760.0834607,3946.61007244,86683.810542
101,1683.24674256,3716.33817896,21760.0834607,3946.61007244,86283.2709231
102,1683.24674256,3784.30876848,21760.0834607,3946.61007244,86545.2205519
103,1683.24674256,3920.90383293,21760.0834607,3946.61007244,89798.7371162
104,2244.0263871,5288.66456009,23532.8617848,3946.61007244,104220.232229
105,3208.89746836,8719.95086484,40381.5002768,4364.42048786,113732.393637
106,4344.76605865,13861.1732127,73026.2535262,6304.15851173,136520.80832
107,5875.02834286,21317.2938025,122076.280115,10869.6144543,167325.322742
108,6853.865218,26339.7723941,153231.197479,13956.4570175,181598.252077
109,8416.23371281,28182.6627083,216899.028245,23080.7814364,250627.221747
110,8416.23371281,28553.8568726,217429.206716,23704.6892101,283565.501912
111,8416.23371281,29967.0947426,225032.324904,24346.9777341,303985.239222
112,8416.23371281,30381.3057528,226636.92751,25977.8732382,295306.710304
113,8416.23371281,28191.5551828,211907.41762,25697.1723997,232272.523698
114,8416.23371281,25895.1160932,204797.325842,26305.918789,183297.784688
115,8416.23371281,25356.3089185,194736.70385,21461.6161556,160596.899075
116,8195.32578643,25451.2906507,141031.375281,14157.4522457,142562.323964
117,6498.33691879,21850.2133105,83696.8644184,8476.33183755,122687.063075
118,4481.58887255,13107.0197518,42540.593665,4590.34121526,115079.139829
119,2844.7065163,7701.96521675,23959.6702661,3951.68306006,113266.602368
