,p,to,q
170,119118.991558,23.77,489625.970638
171,119164.664173,23.7733333333,554066.344897
172,119210.346369,23.7766666667,521594.955911
173,119256.04297,23.78,528551.503304
174,119301.744853,23.7833333333,487177.641789
175,119347.445204,23.7866666667,551132.820113
176,119393.153858,23.79,518734.326021
177,119438.877162,23.7933333333,484416.036788
178,119484.612022,23.7966666667,548240.276111
179,119530.350369,23.8,515836.358356
180,119571.436827,23.8016666667,481866.276543
181,119606.749916,23.8033333333,545359.977857
182,119638.66869,23.805,512884.76496
183,119668.207889,23.8066666667,479588.794936
184,119696.001148,23.8083333333,542305.876597
185,119722.509244,23.81,510150.47145
186,119748.060293,23.8116666667,477332.638396
187,119772.895038,23.8133333333,539375.000305
188,119797.212447,23.815,507494.851609
189,119821.141551,23.8166666667,514016.111117
190,119844.779989,23.8183333333,475268.687128
191,119868.204208,23.82,536622.357956
192,119891.469422,23.8216666667,504776.965388
193,119914.616669,23.8233333333,472870.306033
194,119937.684947,23.825,533565.555164
195,119960.689913,23.8266666667,502207.699364
196,119983.647632,23.8283333333,508511.821607
197,120006.573007,23.83,470831.416815
198,120029.477127,23.8316666667,530789.830544
199,120052.364274,23.8333333333,499544.276254
200,120075.24128,23.835,468462.725302
201,120098.107712,23.8366666667,527970.026695
202,120120.96518,23.8383333333,496927.945478
203,120143.820153,23.84,503285.499374
204,120166.66769,23.8416666667,466448.652151
205,120189.51281,23.8433333333,524995.625898
206,120212.365022,23.845,494371.44634
207,120235.222139,23.8466666667,464089.876022
208,120258.069027,23.8483333333,522171.099774
209,120280.92379,23.85,491799.977341
210,120303.781098,23.8516666667,498018.435372
211,120326.63337,23.8533333333,462077.99232
212,120349.495819,23.855,519495.922171
213,120372.35553,23.8566666667,489601.430686
214,120395.21147,23.8583333333,495599.827861
215,120418.075258,23.86,459924.648015
216,120440.944873,23.8616666667,516720.249101
217,120463.811786,23.8633333333,487406.776206
218,120486.679784,23.865,493035.474675
219,120509.545448,23.8666666667,457778.486795
220,120532.416167,23.8683333333,513879.16767
221,120555.298317,23.87,485222.817263
222,120578.175525,23.8716666667,490721.059787
223,120601.046486,23.8733333333,455641.591203
224,120623.926057,23.875,511128.069262
225,120646.81,23.8766666667,483036.559902
226,120669.697435,23.8783333333,488527.432678
227,120692.587947,23.88,453500.050998
228,120715.47996,23.8816666667,508320.798416
229,120738.369692,23.8833333333,480852.191867
230,120761.264384,23.885,486345.856999
231,120784.161579,23.8866666667,451377.58527
232,120807.05526,23.8883333333,505790.935374
233,120829.96347,23.89,478695.281706
234,120852.873215,23.8916666667,484185.646089
235,120875.772455,23.8933333333,484334.509162
236,120898.679375,23.895,449272.798954
237,120921.591719,23.8966666667,503131.905048
238,120944.505409,23.8983333333,476532.077422
239,120967.425167,23.9,482014.243306
240,120988.716841,23.9083333333,447149.929665
241,121008.005516,23.9166666667,500578.226818
242,121026.12468,23.925,474372.03277
243,121043.412703,23.9333333333,479856.335187
244,121060.102003,23.9416666667,480002.962494
245,121076.352689,23.95,445045.736888
246,121092.269033,23.9583333333,498172.487926
247,121107.935534,23.9666666667,472233.264971
248,121123.425358,23.975,477718.777337
249,121138.773864,23.9833333333,477869.27992
250,121154.016598,23.9916666667,442966.291017
251,121169.18094,24.0,496035.071972
252,121184.284593,24.0083333333,470128.365576
253,121199.340029,24.0166666667,475604.692343
254,121214.359062,24.025,475751.978016
255,121229.346549,24.0333333333,440917.427565
256,121244.313272,24.0416666667,493888.41526
257,121259.267818,24.05,468022.756785
258,121274.19953,24.0583333333,473486.891177
259,121289.115151,24.0666666667,473633.793637
260,121304.025677,24.075,438887.366956
261,121318.920224,24.0833333333,491763.184264
262,121333.807541,24.0916666667,465910.58106
263,121348.686021,24.1,471373.395661
264,121363.554827,24.1083333333,471518.177393
265,121378.415578,24.1166666667,436860.901379
266,121393.273268,24.125,489618.200095
267,121408.121098,24.1333333333,463818.307901
268,121422.955968,24.1416666667,469266.212493
269,121437.780334,24.15,469412.357299
270,121452.598969,24.1583333333,469417.554786
271,121467.412161,24.1666666667,434848.159224
272,121482.213511,24.175,487506.369246
273,121497.004216,24.1833333333,461722.7222
274,121511.797006,24.1916666667,467166.284361
275,121526.586274,24.2,467309.006282
276,121541.358164,24.2083333333,467312.726089
277,121556.12276,24.2166666667,467317.319256
278,121570.878259,24.225,433345.588782
279,121585.623562,24.2333333333,485332.489576
280,121600.362637,24.2416666667,459648.812982
281,121615.0985,24.25,465050.934131
282,121629.824947,24.2583333333,465196.098228
283,121644.544784,24.2666666667,465197.910725
284,121659.256021,24.275,433104.722089
285,121673.958086,24.2833333333,483114.048337
286,121688.654632,24.2916666667,457601.831558
287,121703.344558,24.3,462934.521961
288,121718.024893,24.3083333333,463092.307637
289,121732.695554,24.3166666667,463096.894003
290,121747.365433,24.325,463101.848437
291,121762.023707,24.3333333333,463102.14603
292,121776.670844,24.3416666667,432880.187228
293,121791.315545,24.35,481358.81079
294,121805.943215,24.3583333333,455342.536967
295,121820.565443,24.3666666667,460862.580967
296,121835.186083,24.375,460985.290638
297,121849.795961,24.3833333333,460987.783404
298,121864.399663,24.3916666667,460991.885024
299,121878.992251,24.4,460991.440871
300,121890.569527,24.4,432969.935217
301,121898.428404,24.4,482883.048425
302,121904.119423,24.4,457183.651201
