,tout,s,i,ext,hvac,storage,t1,t2,t3,t4,t5,t6,hsp0,m,rh,tdis,twater,mwa
6476,30.03,674.35,2077.86359145,9291.65347491,-11714.149574,-163.19849455,23.0303703058,23.0304345187,23.0307213983,23.0301912976,23.610980968,23.0300409412,23.03,1.5429327933,0.0,15.6107076871,82.2222222222,0.0
6477,30.02,667.733333333,2078.34556647,9293.23738949,-11237.5708209,-7.21087815318,23.0299474214,23.029955142,23.0299866423,23.0299174943,23.6090939457,23.0299015558,23.03,1.45847534282,0.0,15.4999388014,82.2222222222,0.0
6478,30.01,661.116666667,2078.3668573,9315.78124316,-11782.4093807,-163.046426034,23.0203858142,23.0204492017,23.0207489163,23.0202020133,23.6049866132,23.0200422741,23.02,1.56766918773,0.0,15.6751988559,82.2222222222,0.0
6479,30.0,654.5,2078.84813751,9317.14656847,-11265.4409635,-7.51123795319,23.0199453296,23.0199524782,23.0199835887,23.0199160776,23.6028588999,23.0199017296,23.02,1.46040911295,0.0,15.4812089855,82.2222222222,0.0
6480,30.0283333333,647.883333333,1559.04054433,9307.55343167,-11255.1215531,-163.295039146,23.0103694518,23.0104300258,23.0107326338,23.0101882277,23.6017265955,23.0100408121,23.01,1.483452951,0.0,15.5954772924,82.2222222222,0.0
6481,30.0566666667,641.266666667,1559.29410635,9298.93088883,-10726.492358,-6.88924819237,23.0099654555,23.0099740383,23.010016528,23.0099333973,23.6034764804,23.0099169853,23.01,1.39514889041,0.0,15.4959940689,82.2222222222,0.0
6482,30.085,634.65,1559.30480131,9293.90764502,-10943.4577368,-0.0535254431154,23.0099623167,23.0099681689,23.0099873014,23.0099332755,23.6046050285,23.0099106014,23.01,1.44816702877,0.0,15.6246207637,82.2222222222,0.0
6483,30.1133333333,628.033333333,1559.3048844,9318.15710813,-11223.2297178,-163.456305765,23.0003772804,23.0004349158,23.0007424871,23.0001934346,23.603487375,23.0000436717,23.0,1.48452122359,0.0,15.611666617,82.2222222222,0.0
6484,30.1416666667,621.416666667,1559.55856767,9320.0162619,-10745.6024595,-6.96580445194,22.9999688076,22.9999767754,23.0000173287,22.9999355658,23.6038118394,22.9999193588,23.0,1.40011412631,0.0,15.4991715175,82.2222222222,0.0
6485,30.17,614.8,1559.56937597,9343.0528446,-11292.4373514,-163.29996706,22.9903932478,22.9904499198,22.9907674466,22.9902041401,23.6013279047,22.9900464227,22.99,1.5087244422,0.0,15.6752997673,82.2222222222,0.0
6486,30.1983333333,608.183333333,1559.82268726,9344.94934443,-10774.0205071,-7.25781110557,22.9899676656,22.9899748814,22.9900128057,22.9899348068,23.6005812438,22.9899207651,22.99,1.40230250716,0.0,15.4809886339,82.2222222222,0.0
6487,30.2266666667,601.566666667,1559.83394289,9367.70080613,-11314.9792808,-161.978373752,22.9804699337,22.9805327228,22.9809031468,22.9802531718,23.5972527487,22.9800487175,22.98,1.5141611752,0.0,15.6771768538,82.2222222222,0.0
6488,30.255,594.95,1560.08507548,9369.63405662,-10803.3136328,-8.55499940645,22.9799683058,22.9799749473,22.9800109386,22.9799353505,23.5958583257,22.9799221105,22.98,1.408186788,0.0,15.4822189872,82.2222222222,0.0
6489,30.2833333333,588.333333333,1560.09833601,9364.54714415,-11013.329997,-0.121663951302,22.9799611719,22.9799642608,22.9799663798,22.9799342106,23.5940969469,22.9799159619,22.98,1.46374049777,0.0,15.6265459961,82.2222222222,0.0
6490,30.3116666667,581.716666667,1560.09852459,9388.82176007,-11295.7335437,-163.42330413,22.970379041,22.9704272727,22.9707252079,22.9701970402,23.5906684213,22.9700514294,22.97,1.50023854866,0.0,15.6118413917,82.2222222222,0.0
6491,30.34,575.1,1560.35176684,9390.60789355,-10817.7762268,-7.02947208384,22.9699668764,22.9699719527,22.9699989372,22.969935925,23.5893271361,22.9699242155,22.97,1.41510518073,0.0,15.4987660297,82.2222222222,0.0
6492,30.3683333333,568.483333333,1560.36265716,9413.36203286,-11361.8916084,-161.980096634,22.9604696928,22.9605253791,22.9608915965,22.9602549874,23.5855232829,22.9600540138,22.96,1.52409964982,0.0,15.6747652566,82.2222222222,0.0
6493,30.3966666667,561.866666667,1560.61353464,9415.24144374,-10849.8449912,-8.5882634147,22.9599661487,22.9599709243,22.9599997504,22.9599352375,23.5837638,22.959925422,22.96,1.41804874116,0.0,15.4823281867,82.2222222222,0.0
6494,30.425,555.25,1560.62683306,9437.95206432,-11384.7210571,-162.011774109,22.9504674584,22.9505207568,22.9508809466,22.9502550331,23.5795634085,22.9500561193,22.95,1.52969702152,0.0,15.6770129809,82.2222222222,0.0
6495,30.4533333333,548.633333333,1560.87763001,9439.76620118,-10875.3493365,-8.62903277298,22.9499615425,22.9499649517,22.9499843264,22.9499335559,23.5775020787,22.9499265918,22.95,1.42323053057,0.0,15.4822030519,82.2222222222,0.0
6496,30.4816666667,542.016666667,1560.89098466,9561.02169962,-11507.9695747,-161.904560222,22.940469483,22.9405209808,22.9408755825,22.9402554103,23.5729595289,22.9400581813,22.94,1.54883512972,0.0,15.6792661188,82.2222222222,0.0
6497,30.51,535.4,1561.14148628,9578.92070499,-11015.2584956,-8.74289512246,22.9399569098,22.9399592936,22.9399724255,22.9399317785,23.5705984416,22.9399277233,22.94,1.44337076691,0.0,15.4817983972,82.2222222222,0.0
6498,30.5383333333,528.783333333,1561.15501017,9574.94787517,-11225.2330147,-0.118852180849,22.9399499418,22.9399495099,22.9399318211,22.9399306253,23.568022141,22.9399217518,22.94,1.50013614012,0.0,15.6271653189,82.2222222222,0.0
6499,30.5666666667,522.166666667,1561.15519402,9601.46040244,-11509.8989895,-163.268231184,22.9303782355,22.930418914,22.9307093921,22.9301979374,23.5638743077,22.9300604592,22.93,1.53703877296,0.0,15.6120756262,82.2222222222,0.0
6500,30.595,515.55,1561.4076757,9605.44282725,-11034.7825092,-7.16207695752,22.929958354,22.9299605695,22.9299769421,22.9299329752,23.5620011829,22.929929514,22.93,1.45117296616,0.0,15.4984949448,82.2222222222,0.0
