,p0,m0,p1,m1,p2,m2,p3,m3
5040,21625.439852,13.6278835481,159756.695049,108.201611798,16006.0680778,11.2554073401,5126.26447725,3.59273836073
5041,19617.7386292,12.8876711013,140966.776307,100.694879315,14206.918802,10.507603168,4577.65741546,3.20824754005
5042,22712.2144729,14.0158654261,169090.307818,111.783449816,16878.015514,11.6041652234,5202.5060445,3.64617220219
5043,19600.7038959,12.881250288,140797.059277,100.625098593,14215.6397329,10.5113278354,4605.23664671,3.22757642223
5044,22875.5062737,14.0734473376,170305.134416,112.243113215,17007.612866,11.6553045426,5230.23672887,3.66560723016
5045,19720.3172991,12.9262832151,141681.120195,100.988175786,14315.9912105,10.5541133677,4632.41554113,3.24662472866
5046,23022.257839,14.125042468,171421.976066,112.664419415,17130.6354367,11.7036882403,5258.02038471,3.68507938314
5047,19853.0844592,12.9761263119,142675.903987,101.395512269,14426.767559,10.6011864973,4659.94192802,3.2659165749
5048,21477.4353824,13.5743857686,157112.785423,107.170176055,15783.9884434,11.1652273857,4925.5464974,3.45206532502
5049,22600.303095,13.9762965597,167512.787253,111.184357358,16801.9840235,11.5740811886,5227.97092571,3.66401924382
5050,20053.2796456,13.0510037069,144172.462034,102.005918833,14585.9063568,10.6685258237,4686.78320224,3.28472826048
5051,23297.7890287,14.2215249413,173519.326887,113.452327737,17372.6692903,11.7984263357,5314.42428179,3.72461000932
5052,20104.3195704,13.0700405391,144522.119335,102.148124674,14640.7366071,10.6916502187,4715.50080332,3.30485496824
5053,23469.9418241,14.2815530432,174849.583909,113.949877078,17515.0494085,11.8538817681,5343.21362265,3.74478699584
5054,20249.8198317,13.1241916064,145644.647947,102.60361858,14764.4827085,10.7436962945,4743.86118757,3.32473132087
5055,21916.2004131,13.7325130329,160461.658539,108.475342901,16159.506191,11.317385876,5010.07714755,3.51130856359
5056,23059.4050619,14.1380797734,171064.649456,112.529757905,17198.7259194,11.7304007661,5313.74534893,3.72413417977
