,tout,s,i,ext,hvac,storage,t1,t2,t3,t4,t5,t6,hsp0,m,rh,tdis,twater,mwa
1916,25.485,669.25,6222.99117294,7452.75689051,-13566.1486436,49.8889952427,23.8801875088,23.8798811666,23.8799818029,23.8799811034,23.8804633171,24.5703903383,23.88,3.03398355652,12226.8352416,19.5155753164,82.2222222222,0.0726627576646
1917,25.5233333333,672.666666667,6222.18157885,7569.42770696,-16366.5604091,-1369.04516917,23.8701395423,23.8701055579,23.8705930001,23.8701133248,23.87063688,24.5775530209,23.87,3.03398355652,9377.19382977,18.6045524932,82.2222222222,0.0529650221531
1918,25.5616666667,676.083333333,6222.28385002,7596.31711848,-12246.2510913,-22.6412738507,23.869973369,23.8700906393,23.87001722,23.8699832686,23.869835302,24.5847541057,23.87,3.03398355652,13543.0412307,19.9300038003,82.2222222222,0.0822927616924
1919,25.6,679.5,6221.58141785,7597.70584235,-14265.5924283,-8.93516361181,23.8699077903,23.8700619541,23.8699857407,23.8699809843,23.8703076551,24.5919728406,23.87,3.03398355652,11488.8427466,19.2802551677,82.2222222222,0.0674100281949
1920,25.6183333333,682.916666667,17544.1977499,9745.78068926,-27272.0482825,8.40501365122,23.8699694769,23.8699765661,23.8699752102,23.8699711581,23.8704076724,24.596417314,23.87,3.23543109861,0.0,15.642180317,82.2222222222,0.0
1921,25.6366666667,686.333333333,17713.3186784,10546.5951773,-28274.6494302,-0.721429965331,23.8699641823,23.8699673319,23.8699491737,23.8699636998,23.8699821097,24.599070233,23.87,3.33268142464,0.0,15.5888012849,82.2222222222,0.0
1922,25.655,689.75,17711.5116775,10724.6547765,-30897.6729694,-1344.27447945,23.8600989129,23.8601633031,23.8606083538,23.8601515646,23.8602138217,24.5996165992,23.86,3.66085369225,0.0,15.6221147707,82.2222222222,0.0
1923,25.6733333333,693.166666667,17713.9529582,10849.4115675,-27030.1211019,-18.6621447578,23.8599619591,23.8599643868,23.8599704179,23.8599613351,23.8598483198,24.6024725849,23.86,3.16050782734,0.0,15.512426828,82.2222222222,0.0
1924,25.6916666667,696.583333333,17715.9322835,10941.8346965,-29085.3868196,-0.328642114413,23.8599595474,23.8599627923,23.8599458973,23.8599598384,23.859829311,24.6056862519,23.86,3.44374267127,0.0,15.6166596892,82.2222222222,0.0
1925,25.71,700.0,17721.7731457,11038.7339074,-28767.805165,-0.44615309135,23.8599562734,23.8599581653,23.8599313652,23.8599556666,23.859965682,24.6094720825,23.86,3.3871401458,0.0,15.5705999888,82.2222222222,0.0
1926,25.7283333333,703.416666667,17726.9826453,11255.6778263,-31446.8014741,-1344.00401183,23.8500940862,23.8501611921,23.8506107623,23.8501487507,23.8502092561,24.611686704,23.85,3.73158897434,0.0,15.6253729438,82.2222222222,0.0
1927,25.7466666667,706.833333333,17732.4216079,11352.5928071,-27552.3245254,-18.8955942245,23.8499554347,23.8499574891,23.8499643273,23.8499553996,23.8499796443,24.6161436802,23.85,3.22442079227,0.0,15.5105254795,82.2222222222,0.0
1928,25.765,710.25,17731.1662782,11416.7798276,-29575.1173272,-0.33279832564,23.8499529927,23.8499560814,23.8499406111,23.8499540997,23.8498524875,24.620621879,23.85,3.50561013623,0.0,15.6164613963,82.2222222222,0.0
1929,25.7833333333,713.666666667,17728.7933371,11486.8524173,-29222.8650866,-0.407505602883,23.8499500027,23.8499516986,23.8499268396,23.8499501868,23.8497527711,24.6253994659,23.85,3.44437867221,0.0,15.5700567183,82.2222222222,0.0
1930,25.8016666667,717.083333333,17726.1033832,11556.3423527,-29282.8075233,-0.0988948429689,23.849949277,23.8499512521,23.8499285485,23.849949931,23.8497389389,24.6304906699,23.85,3.45564453644,0.0,15.580274974,82.2222222222,0.0
1931,25.82,720.5,17723.3213625,11748.1843276,-31935.9649835,-1343.99960732,23.8400883875,23.840159807,23.8406189408,23.8401461033,23.8401990192,24.6336491139,23.84,3.79387724106,0.0,15.6253381589,82.2222222222,0.0
1932,25.8383333333,723.916666667,17724.6327859,11837.1397623,-28029.1835977,-19.0573982226,23.8399485666,23.8399505199,23.8399621133,23.839949547,23.8398635174,24.6389823428,23.84,3.28336961153,0.0,15.5092568636,82.2222222222,0.0
1933,25.8566666667,727.333333333,17723.0570563,11891.1074888,-30041.0936412,-0.353276895675,23.8399459747,23.839949181,23.8399381646,23.8399483321,23.8399489169,24.6441593351,23.84,3.56512512679,0.0,15.6170626505,82.2222222222,0.0
1934,25.875,730.75,17725.4988702,11948.9332033,-29681.5472503,-0.3813884722,23.8399431766,23.8399449265,23.8399244583,23.8399445789,23.8399059427,24.6495285069,23.84,3.50206276822,0.0,15.5693088429,82.2222222222,0.0
1935,25.8933333333,734.166666667,17731.6468852,12130.1537932,-32325.5248516,-1343.83083314,23.8300845882,23.8301600609,23.8306277171,23.8301450252,23.8302016293,24.6527727124,23.83,3.84535652158,0.0,15.6269626324,82.2222222222,0.0
1936,25.9116666667,737.583333333,17740.249201,12207.5405456,-28415.7328733,-19.2239589382,23.8299435604,23.8299456805,23.8299620538,23.8299455402,23.8300652925,24.6582721819,23.83,3.33196295058,0.0,15.5080382639,82.2222222222,0.0
1937,25.93,741.0,17740.9745424,12258.0318542,-30425.6413643,-0.366312261269,23.8299408731,23.8299444183,23.8299376866,23.8299444094,23.8299492424,24.6635455731,23.83,3.61543784934,0.0,15.6181715282,82.2222222222,0.0
1938,25.9483333333,744.416666667,17739.2875278,12315.1084922,-30061.464493,-0.36953621667,23.8299381623,23.8299401582,23.8299235822,23.829940684,23.8299413787,24.668979725,23.83,3.55082917343,0.0,15.5689437199,82.2222222222,0.0
1939,25.9666666667,747.833333333,17736.8215894,12491.804979,-32692.163803,-1343.75877851,23.8200811527,23.8201610614,23.8206366087,23.8201444147,23.8202015677,24.6721831914,23.82,3.89351388588,0.0,15.6269681164,82.2222222222,0.0
1940,25.985,751.25,17738.2047854,12562.2471123,-28768.679123,-19.3679154499,23.8199390839,23.8199415406,23.8199628678,23.8199421641,23.8201622434,24.6777739356,23.82,3.37676193392,0.0,15.5068708755,82.2222222222,0.0
1941,26.0033333333,754.666666667,17735.5808075,12605.7638865,-30767.7371619,-0.3726223344,23.8199363507,23.8199403773,23.8199380495,23.819941137,23.8199480039,24.6830966357,23.82,3.66078126102,0.0,15.6190949157,82.2222222222,0.0
1942,26.0216666667,758.083333333,17732.7879842,12655.9550234,-30395.7695349,-0.357078293339,23.8199337315,23.8199361009,23.8199235055,23.8199374355,23.819937691,24.6885612651,23.82,3.5943553501,0.0,15.5686074069,82.2222222222,0.0
1943,26.04,761.5,17731.730938,12831.5160638,-33026.6314968,-1343.70263035,23.8100781728,23.8101629641,23.8106457404,23.8101443971,23.8102012535,24.6916887864,23.81,3.93804144868,0.0,15.6270961938,82.2222222222,0.0
1944,26.0583333333,764.916666667,17739.1699599,12901.5613135,-29109.2308626,-19.513018886,23.8099350547,23.8099380304,23.8099641144,23.8099393415,23.8099404998,24.6973136513,23.81,3.42044054734,0.0,15.5062280052,82.2222222222,0.0
1945,26.0766666667,768.333333333,17745.6150438,12940.6423062,-31112.4252608,-0.384005571929,23.8099322383,23.8099369248,23.8099386345,23.8099383791,23.809939373,24.7026293141,23.81,3.70647958559,0.0,15.6197942471,82.2222222222,0.0
1946,26.095,771.75,17749.3875525,12985.2361084,-30741.6134644,-0.348252791781,23.8099296841,23.8099326163,23.8099236399,23.8099346908,23.8099344372,24.7080623772,23.81,3.63951916046,0.0,15.5685969616,82.2222222222,0.0
1947,26.1133333333,775.166666667,17749.2945145,13156.0705711,-33368.5819516,-1343.63735077,23.800075633,23.8001656076,23.8006545101,23.8001448127,23.800201503,24.7110639925,23.8,3.98351863225,0.0,15.6270563793,82.2222222222,0.0
1948,26.1316666667,778.583333333,17751.4732051,13220.5882673,-29440.8638883,-19.6663214164,23.7999314055,23.7999350407,23.7999654111,23.7999369659,23.7999379313,24.7166682728,23.8,3.46333662172,0.0,15.5059317507,82.2222222222,0.0
