,tout,s,i,ext,hvac,storage,t1,t2,t3,t4,t5,hsp0,m,rh,tdis,twater,mwa
4311,20.9533333333,0.0,363.314618291,3158.32953552,-3568.40503883,3.33991704181,22.9502361777,22.9500677285,22.9500592612,22.9499184513,23.3239533923,22.95,0.541989002164,523.68754989,16.5215675514,82.2222222222,0.00242073531609
4312,20.9716666667,0.0,363.314105539,3141.99316677,-3210.43067213,105.323201546,22.9597417216,22.9596402073,22.9598833156,22.9597727682,23.3247584888,22.96,0.541989002164,886.834962683,17.1759927876,82.2222222222,0.00430352945082
4313,20.99,0.0,363.297931746,3137.64275532,-3547.07963147,3.18035817444,22.9600287529,22.96012683,22.9601127919,22.960058251,23.3256966733,22.96,0.541989002164,550.460755238,16.5698011739,82.2222222222,0.00255522061143
4314,21.0083333333,0.0,363.297443244,3137.3083735,-3402.18982625,-1.38475942896,22.9599037767,22.9601731176,22.9598787713,22.9599292349,23.326600452,22.96,0.541989002164,695.242596067,16.8307123034,82.2222222222,0.00329488973579
4315,21.0266666667,0.0,363.297655943,3120.13267816,-3215.88855745,106.494566827,22.9695153486,22.969864821,22.9698335375,22.9698556452,23.3273382186,22.97,0.541989002164,886.835282685,17.1759633621,82.2222222222,0.00430352945082
4316,21.045,0.0,363.281294115,3115.63314425,-3525.95652295,4.51301770286,22.9699226674,22.9699371961,22.9701497152,22.9698105133,23.3281688234,22.97,0.541989002164,577.088192445,16.617781347,82.2222222222,0.00268970590676
4317,21.0633333333,0.0,363.280600567,3099.58328142,-3171.25105076,104.691123294,22.9793717816,22.9800001628,22.9799182336,22.9797998412,23.3289727893,22.98,0.541989002164,936.928812294,17.2662548391,82.2222222222,0.0045725000415
4318,21.0816666667,0.0,363.264507626,3095.47779754,-3504.87432711,2.89521604872,22.9796330955,22.9800704825,22.9799657588,22.980004612,23.3299296603,22.98,0.541989002164,603.57548775,16.6654926027,82.2222222222,0.0028241912021
4319,21.1,0.0,363.264062474,3077.82237959,-3127.48942508,116.071663734,22.9901097596,22.9898131647,22.9898218176,22.9899572266,23.3308689272,22.99,0.541989002164,986.636477335,17.3558488812,82.2222222222,0.00484147063218
4320,21.0533333333,0.0,335.774098251,3070.03261047,-3471.14767117,-0.722758162344,22.9900445221,22.9899615368,22.9901264663,22.9901808629,23.3319309039,22.99,0.541989002164,643.05330234,16.736678209,82.2222222222,0.00302591914511
